iter	Passed	Remaining
0	73	73905
1	136	68236
2	228	76020
3	318	79366
4	437	87109
5	552	91533
6	630	89379
7	704	87391
8	803	88434
9	884	87524
10	951	85523
11	1083	89219
12	1168	88751
13	1276	89906
14	1366	89738
15	1415	87057
16	1430	82735
17	1497	81673
18	1695	87531
19	1892	92716
20	1986	92605
21	2053	91295
22	2148	91278
23	2228	90624
24	2314	90252
25	2378	89109
26	2463	88790
27	2577	89460
28	2654	88895
29	2742	88672
30	2809	87807
31	2886	87311
32	3075	90134
33	3114	88499
34	3198	88188
35	3207	85877
36	3229	84067
37	3282	83092
38	3294	81183
39	3303	79272
40	3424	80097
41	3465	79042
42	3532	78625
43	3588	77973
44	3712	78794
45	3814	79101
46	3862	78319
47	3958	78505
48	4009	77825
49	4110	78096
50	4185	77878
51	4227	77074
52	4278	76454
53	4294	75239
54	4547	78140
55	4620	77883
56	4737	78381
57	4842	78653
58	4975	79358
59	5060	79274
60	5129	78959
61	5189	78518
62	5277	78499
63	5421	79285
64	5542	79720
65	5618	79513
66	5699	79366
67	5849	80166
68	5936	80105
69	6017	79942
70	6027	78873
71	6115	78816
72	6288	79853
73	6357	79549
74	6444	79487
75	6468	78641
76	6565	78703
77	6614	78181
78	6686	77957
79	6752	77653
80	6799	77144
81	6881	77034
82	6966	76966
83	7019	76550
84	7128	76738
85	7259	77149
86	7476	78462
87	7767	80502
88	7894	80806
89	7997	80863
90	8090	80811
91	8241	81336
92	8556	83444
93	8712	83969
94	8801	83847
95	8879	83619
96	8971	83515
97	8982	82671
98	9098	82806
99	9170	82532
100	9309	82864
101	9343	82259
102	9424	82071
103	9486	81731
104	9613	81939
105	9685	81690
106	9808	81857
107	9941	82112
108	10013	81850
109	10092	81658
110	10220	81853
111	10335	81945
112	10410	81714
113	10434	81095
114	10499	80801
115	10511	80107
116	10618	80141
117	10696	79952
118	10709	79284
119	10793	79150
120	10845	78790
121	10959	78869
122	11043	78742
123	11151	78781
124	11172	78209
125	11280	78249
126	11332	77900
127	11421	77805
128	11431	77187
129	11455	76663
130	11544	76578
131	11646	76587
132	11699	76267
133	11760	76003
134	11813	75695
135	11953	75942
136	12028	75768
137	12095	75551
138	12178	75436
139	12303	75580
140	12381	75432
141	12442	75181
142	12523	75055
143	12606	74938
144	12704	74912
145	12784	74778
146	12800	74276
147	13001	74846
148	13163	75180
149	13396	75915
150	13521	76025
151	13596	75852
152	13642	75523
153	13715	75347
154	13866	75592
155	14081	76182
156	14238	76452
157	14386	76669
158	14481	76599
159	14597	76637
160	14625	76213
161	14744	76271
162	14818	76092
163	14898	75945
164	15007	75948
165	15095	75839
166	15223	75936
167	15343	75988
168	15353	75495
169	15476	75563
170	15627	75763
171	15732	75737
172	15774	75406
173	15876	75369
174	15946	75175
175	16040	75100
176	16093	74829
177	16229	74949
178	16251	74538
179	16375	74597
180	16447	74421
181	16527	74282
182	16618	74192
183	16766	74357
184	16880	74364
185	16950	74180
186	17031	74044
187	17175	74185
188	17410	74707
189	17474	74498
190	17556	74362
191	17657	74307
192	17729	74131
193	17815	74015
194	17948	74095
195	18059	74079
196	18130	73903
197	18270	74006
198	18365	73922
199	18374	73497
200	18384	73081
201	18395	72669
202	18406	72267
203	18594	72553
204	18687	72470
205	18739	72230
206	18827	72125
207	19011	72389
208	19152	72485
209	19191	72195
210	19378	72463
211	19456	72317
212	19608	72451
213	19633	72111
214	19718	71997
215	19809	71900
216	19875	71716
217	19992	71716
218	20068	71568
219	20235	71743
220	20312	71599
221	20377	71411
222	20453	71264
223	20536	71144
224	20646	71114
225	20669	70786
226	20822	70907
227	20880	70699
228	20980	70636
229	21076	70559
230	21182	70515
231	21272	70420
232	21346	70268
233	21353	69901
234	21361	69539
235	21432	69381
236	21489	69185
237	21542	68971
238	21633	68883
239	21708	68742
240	21759	68530
241	21798	68278
242	21933	68327
243	22047	68310
244	22413	69069
245	22566	69167
246	22681	69145
247	22835	69242
248	22922	69134
249	23028	69085
250	23139	69050
251	23233	68964
252	23287	68758
253	23298	68427
254	23373	68288
255	23539	68411
256	23585	68187
257	23607	67895
258	23783	68045
259	23892	68001
260	23937	67777
261	23992	67580
262	24015	67298
263	24061	67081
264	24165	67024
265	24266	66961
266	24292	66690
267	24383	66599
268	24440	66417
269	24550	66376
270	24594	66161
271	24665	66015
272	24693	65758
273	24774	65642
274	24876	65582
275	24914	65354
276	24986	65217
277	25193	65431
278	25320	65433
279	25431	65394
280	25536	65339
